; - Taxiway1
REGIONNAME Mount Pleasant
smrGrey S051.49.13.354 W058.27.48.700
S051.49.13.122 W058.27.47.888
S051.49.12.865 W058.27.47.070
S051.49.12.646 W058.27.46.396
S051.49.12.511 W058.27.45.715
S051.49.12.507 W058.27.44.536
S051.49.12.649 W058.27.43.240
S051.49.11.516 W058.27.49.905
S051.49.11.643 W058.27.49.568
S051.49.11.813 W058.27.49.386
S051.49.12.038 W058.27.49.213
S051.49.12.300 W058.27.49.200
S051.49.12.643 W058.27.49.396
S051.49.12.912 W058.27.49.842
S051.49.13.125 W058.27.50.431
S051.49.15.024 W058.27.56.030
S051.49.15.229 W058.27.57.342
S051.49.13.948 W058.28.04.776
S051.49.13.124 W058.28.10.092
S051.49.11.676 W058.28.18.614
S051.49.11.074 W058.28.22.009
S051.49.09.912 W058.28.28.414
S051.49.09.610 W058.28.29.401
S051.49.08.920 W058.28.30.153
S051.49.07.966 W058.28.30.440
S051.49.05.897 W058.28.29.711
S051.49.06.045 W058.28.28.690
S051.49.06.070 W058.28.28.113
S051.49.06.084 W058.28.27.257
S051.49.05.989 W058.28.26.367
S051.49.05.859 W058.28.25.344
S051.49.05.792 W058.28.24.717
S051.49.05.743 W058.28.24.122
S051.49.04.629 W058.28.30.651
S051.49.05.782 W058.28.31.088
S051.49.06.636 W058.28.31.380
S051.49.08.090 W058.28.31.866
S051.49.09.128 W058.28.31.526
S051.49.10.017 W058.28.30.571
S051.49.10.525 W058.28.29.334
S051.49.10.916 W058.28.28.056
S051.49.11.808 W058.28.22.360
S051.49.12.230 W058.28.21.652
S051.49.13.064 W058.28.21.010
S051.49.14.254 W058.28.20.963
S051.49.17.820 W058.28.22.658
S051.49.17.492 W058.28.24.668
S051.49.15.848 W058.28.24.034
S051.49.15.290 W058.28.27.773
S051.49.13.796 W058.28.29.028
S051.49.13.657 W058.28.29.271
S051.49.13.607 W058.28.29.989
S051.49.13.531 W058.28.30.384
S051.49.13.399 W058.28.30.947
S051.49.13.325 W058.28.31.458
S051.49.13.200 W058.28.32.086
S051.49.13.138 W058.28.32.704
S051.49.12.954 W058.28.33.092
S051.49.12.127 W058.28.33.919
